2024-02-12 23:12:44,139 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c5:6d:2f:4b
2024-02-12 23:14:03,098 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C5:6D:2F:4B
2024-02-12 23:14:56,141 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c5:6d:2f:4b
2024-02-12 23:15:00,581 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c5:6d:2f:4b
2024-02-12 23:36:51,495 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C5:6D:2F:4B
2024-02-12 23:37:17,487 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c5:6d:2f:4b
2024-02-12 23:37:21,935 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c5:6d:2f:4b
2024-02-12 23:47:51,277 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C5:6D:2F:4B
2024-02-12 23:47:56,669 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c5:6d:2f:4b
2024-02-12 23:48:01,428 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c5:6d:2f:4b
2024-02-12 23:52:24,705 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C5:6D:2F:4B
2024-02-12 23:54:07,196 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c5:6d:2f:4b
2024-02-12 23:54:12,057 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c5:6d:2f:4b
2024-02-13 00:22:24,148 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C5:6D:2F:4B
2024-02-13 00:24:00,015 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c5:6d:2f:4b
2024-02-13 00:24:04,783 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c5:6d:2f:4b
2024-02-13 00:49:52,807 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C5:6D:2F:4B
2024-02-13 00:50:52,738 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c5:6d:2f:4b
2024-02-13 00:50:57,063 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c5:6d:2f:4b
2024-02-13 01:06:15,862 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C5:6D:2F:4B
2024-02-13 01:11:02,230 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c5:6d:2f:4b
2024-02-13 01:11:06,645 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c5:6d:2f:4b
2024-02-13 01:16:26,080 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C5:6D:2F:4B
